text,intent
I did take ibuprofen,confirm_dose
I confirm panadol taken,confirm_dose
I've consumed aspirin,confirm_dose
took paracetamol earlier,confirm_dose
already done with metformin,confirm_dose
I took vitamin D pill,confirm_dose
ibuprofen is taken,confirm_dose
just completed panadol,confirm_dose
I have taken aspirin dose,confirm_dose
yep swallowed paracetamol,confirm_dose
I took metformin late,confirm_dose
just had vitamin D,confirm_dose
remind me in 20 minutes,snooze_reminder
snooze for 30 minutes,snooze_reminder
remind me in 40 minutes,snooze_reminder
delay for 25 minutes,snooze_reminder
push back 15 minutes,snooze_reminder
snooze 45 minutes,snooze_reminder
remind me in 50 minutes,snooze_reminder
postpone 35 minutes,snooze_reminder
delay 20 mins,snooze_reminder
snooze half hour,snooze_reminder
remind me in 1.5 hours,snooze_reminder
push it 40 minutes,snooze_reminder
delay 15 mins please,snooze_reminder
snooze 25 min,snooze_reminder
remind me in 55 minutes,snooze_reminder
postpone half an hour,snooze_reminder
delay it 30 mins,snooze_reminder
snooze for 20 min,snooze_reminder
remind me in 35 mins,snooze_reminder
push back half hour,snooze_reminder
did I take aspirin today,query_history
when did I last take paracetamol,query_history
have I taken metformin,query_history
show vitamin D history,query_history
did I take ibuprofen this morning,query_history
when was my last panadol,query_history
have I had aspirin today,query_history
check if I took paracetamol,query_history
did I take my metformin,query_history
when did I have vitamin D,query_history
have I taken ibuprofen,query_history
show panadol records,query_history
did I take my aspirin dose,query_history
when was paracetamol taken,query_history
have I had metformin today,query_history
check vitamin D log,query_history
did I complete ibuprofen,query_history
when did I take panadol,query_history
have I taken my aspirin,query_history
show my paracetamol history,query_history
what's my adherence,adherence_summary
how many doses taken,adherence_summary
show my stats,adherence_summary
am I on track,adherence_summary
how's my compliance,adherence_summary
what's my success rate,adherence_summary
how many missed,adherence_summary
show adherence,adherence_summary
am I doing well,adherence_summary
what's my percentage,adherence_summary
how many on time,adherence_summary
show my record,adherence_summary
am I consistent,adherence_summary
what's my score,adherence_summary
how many skipped,adherence_summary
show my performance,adherence_summary
am I improving,adherence_summary
what's my rate,adherence_summary
how many late,adherence_summary
show compliance,adherence_summary
change aspirin dosage to 100mg,update_medication
update paracetamol to 1000mg,update_medication
modify metformin dosage,update_medication
increase vitamin D,update_medication
reduce ibuprofen dose,update_medication
change panadol amount,update_medication
update aspirin strength,update_medication
modify paracetamol frequency,update_medication
increase metformin to 1000mg,update_medication
reduce vitamin D to 500iu,update_medication
change ibuprofen to 400mg,update_medication
update panadol dosage,update_medication
modify aspirin amount,update_medication
increase paracetamol dose,update_medication
reduce metformin strength,update_medication
change vitamin D frequency,update_medication
update ibuprofen amount,update_medication
modify panadol strength,update_medication
increase aspirin dosage,update_medication
reduce paracetamol to 500mg,update_medication
next medication,check_next_dose
upcoming dose,check_next_dose
next pill time,check_next_dose
when's next,check_next_dose
next dose,check_next_dose
upcoming medication,check_next_dose
next tablet,check_next_dose
when next dose,check_next_dose
next med,check_next_dose
upcoming pill,check_next_dose
next scheduled,check_next_dose
when's upcoming,check_next_dose
next medication time,check_next_dose
upcoming dose time,check_next_dose
next pill,check_next_dose
when am I due,check_next_dose
next scheduled dose,check_next_dose
upcoming med,check_next_dose
next dose time,check_next_dose
when do I take next,check_next_dose
list my medications,medication_info
what meds do I have,medication_info
show medications,medication_info
my medication list,medication_info
what pills am I on,medication_info
show my meds,medication_info
medication details,medication_info
what do I take,medication_info
show prescriptions,medication_info
my pills,medication_info
what medications,medication_info
show med list,medication_info
my prescriptions,medication_info
what am I taking,medication_info
show pill list,medication_info
medication info,medication_info
what meds,medication_info
show my pills,medication_info
my meds,medication_info
what do I take daily,medication_info
show my schedule,check_schedule
what's scheduled,check_schedule
today's doses,check_schedule
my schedule,check_schedule
what's planned,check_schedule
show doses,check_schedule
today's meds,check_schedule
schedule please,check_schedule
what pills today,check_schedule
show today,check_schedule
my doses,check_schedule
what's today,check_schedule
show medication schedule,check_schedule
today's pills,check_schedule
schedule for today,check_schedule
what do I take today,check_schedule
show my meds today,check_schedule
today's schedule,check_schedule
what's on schedule,check_schedule
show pills today,check_schedule
hi there,general
hello there,general
hey there,general
good afternoon,general
how's it going,general
what's up,general
yo,general
sup,general
heya,general
howdy,general
greetings,general
hi again,general
hello again,general
hey again,general
thanks a lot,general
thank you so much,general
thanks very much,general
appreciate it,general
cheers,general
much appreciated,general
thank you very much,general
thanks mate,general
ty,general
thx,general
tyvm,general
ok thanks,general
okay cool,general
ok great,general
sounds perfect,general
that's great,general
wonderful,general
excellent,general
fantastic,general
brilliant,general
amazing,general
terrific,general
superb,general
lovely,general
splendid,general
marvelous,general
understood,general
I understand,general
makes sense,general
I see,general
right,general
I get it,general
clear,general
copy that,general
roger,general
affirmative,general
can you help,general
I need help,general
help me,general
assist me,general
I need assistance,general
support please,general
guide me,general
show me,general
explain please,general
tell me,general
what do you do,general
what can you do,general
how do you work,general
what are your features,general
what's your function,general
how can you help,general
what can you help with,general
what do you offer,general
tell me about yourself,general
introduce yourself,general
goodbye now,general
bye bye,general
see ya,general
catch you,general
later gator,general
peace out,general
I'm off,general
gotta go,general
talk soon,general
until next time,general
what medications do I have,medication_info
what meds do I have,medication_info
what pills do I have,medication_info
what medications do I have registered,medication_info
what meds do I have in my list,medication_info
what pills do I have tracked,medication_info
which medications do I have,medication_info
which meds do I have,medication_info
which pills do I have,medication_info
what medications am I on,medication_info
what meds am I on,medication_info
what pills am I on,medication_info
tell me what medications I have,medication_info
show me what medications I have,medication_info
list what medications I have,medication_info
what medications have I added,medication_info
what meds have I added,medication_info
what pills have I added,medication_info
what are my medications,medication_info
what are my meds,medication_info
what are my pills,medication_info
i have taken it,confirm_dose
I have taken it,confirm_dose
taken it,confirm_dose
I took it,confirm_dose
took it,confirm_dose
had it,confirm_dose
I had it,confirm_dose
done it,confirm_dose
I done it,confirm_dose
finished it,confirm_dose
I finished it,confirm_dose
completed it,confirm_dose
I completed it,confirm_dose
I have had it,confirm_dose
have taken it,confirm_dose
have had it,confirm_dose
just took it,confirm_dose
just had it,confirm_dose
just taken it,confirm_dose
already took it,confirm_dose
already taken it,confirm_dose
already had it,confirm_dose
I already took it,confirm_dose
I already had it,confirm_dose
I just took it,confirm_dose
I just had it,confirm_dose
what medications do I have tonight,check_schedule
what meds do I have tonight,check_schedule
what pills do I have tonight,check_schedule
what medications tonight,check_schedule
what meds tonight,check_schedule
what pills tonight,check_schedule
what medications do I have this morning,check_schedule
what meds do I have this morning,check_schedule
what pills do I have this morning,check_schedule
what medications this morning,check_schedule
what meds this morning,check_schedule
what pills this morning,check_schedule
what medications do I have this afternoon,check_schedule
what meds do I have this afternoon,check_schedule
what pills do I have this afternoon,check_schedule
what medications this afternoon,check_schedule
what meds this afternoon,check_schedule
what pills this afternoon,check_schedule
what medications do I have this evening,check_schedule
what meds do I have this evening,check_schedule
what pills do I have this evening,check_schedule
